ACC_x,ACC_y,ACC_z,ACC_net,PPG_Clean,PPG_Rate,PPG_Quality,PPG_Peaks,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime,TEMP,label,subject_id
-60.21907211231512,-0.9999999947139722,21.700321814288973,64.01750239505867,15.17695916419436,48.0,0.5759996521416694,0.0,0.402338,0.40178834002963854,0.0005496599703558136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.07,0.0,S01
-60.964064701182345,-0.9999898319563797,21.293792789665524,64.58361073773419,-0.29836767821129234,48.0,0.5759996521416694,0.0,0.402338,0.4019415920113028,0.00039640798869133837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09,0.0,S01
-60.997879745887765,-0.562671033778822,22.00055554429802,64.84660651447986,-33.08056817818727,48.0,0.5759996521416694,0.0,0.399775,0.40209596524025093,-0.002320965240256845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09,0.0,S01
-61.14651480161074,-1.0000505922241552,21.21299206027948,64.72933960515965,-3.1201099085368953,48.0,0.5759996521416694,0.0,0.401057,0.40225150684975136,-0.001194506849757152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09,0.0,S01
-61.00000384069183,-1.0000000013443446,22.103264606763528,64.88878774367504,29.087104483528368,48.0,0.8553780370677484,1.0,0.402338,0.40240822432212453,-7.022432213014203e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09,0.0,S01
-60.9980186435509,-1.0000000000000357,22.007236700719606,64.854273148656,15.596493195523133,48.0,0.8553780370677484,0.0,0.402338,0.40256608566812485,-0.00022808566813032444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09,0.0,S01
-61.452424689471464,-1.0,21.666343844209386,65.167714059883,-6.180744692961186,48.0,0.8553780370677484,0.0,0.404901,0.4027250439884284,0.002175956011566239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09,0.0,S01
-60.56312249694341,-1.0000000000000002,21.209785424097895,64.17746336772784,-38.71831549148493,48.0,0.8553780370677484,0.0,0.401057,0.4028850619917901,-0.001828061991795408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09,0.0,S01
-61.251604696988665,-1.0000000000000002,20.593601642872848,64.62859666263456,17.689606724231705,48.0,0.8553780370677484,0.0,0.403619,0.4030461150976823,0.0005728849023124828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09,0.0,S01
-60.26653318253085,-1.0000000000000002,21.561146151856594,64.01513918771725,24.53253833172529,48.0,0.535613950195694,1.0,0.401057,0.40320817312001106,-0.0021511731200161326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.09,0.0,S01
