ACC_x,ACC_y,ACC_z,ACC_net,PPG_Clean,PPG_Rate,PPG_Quality,PPG_Peaks,EDA_Clean,EDA_Tonic,EDA_Phasic,SCR_Onsets,SCR_Peaks,SCR_Height,SCR_Amplitude,SCR_RiseTime,SCR_Recovery,SCR_RecoveryTime,TEMP,label,subject_id
7.0,-42.0,46.0,62.68173577685928,2.3051883743638657e-23,55.724234593316105,0.4440795490311257,0,0.838918,0.8875374027739713,-0.04861940277393728,0,0,0.0,0.0,0.0,0,0.0,382.18,0,1
-43.0,-32.0,45.0,69.98571282769076,2.9696989162286434e-05,55.724234593316105,0.4440795490311257,0,1.186279,1.105211699942821,0.08106730005721241,0,0,0.0,0.0,0.0,0,0.0,382.18,0,1
-4.0,-37.0,54.0,65.58200972827838,6.6803243001205175,55.724234593316105,0.4440795490311257,0,1.624379,1.3225517551969725,0.3018272448030599,0,0,0.0,0.0,0.0,0,0.0,382.18,0,1
49.0,-34.0,12.0,60.83584469702052,24.872223229214686,55.724234593316105,0.4440795490311257,0,2.102213,1.5387677465144753,0.5634452534855565,0,0,0.0,0.0,0.0,0,0.0,34.68,0,1
47.0,-34.0,29.0,64.85368146836385,100.7229860367942,55.724234593316105,0.4440795490311257,0,2.590394,1.7530821905971223,0.8373118094029082,0,0,0.0,0.0,0.0,0,0.0,34.68,0,1
20.0,-41.0,51.0,68.42514157822401,166.69248889604967,55.724234593316105,0.4440795490311257,0,3.113067,1.964739448651171,1.1483275513488584,0,0,0.0,0.0,0.0,0,0.0,34.68,0,1
-5.0,-26.0,53.0,59.2452529743945,-592.1167611403143,55.724234593316105,0.4440795490311257,0,3.609366,2.1730163131185827,1.436349686881446,0,0,0.0,0.0,0.0,0,0.0,34.68,0,1
11.0,-31.0,57.0,65.81033353509159,187.8064135448745,55.724234593316105,0.4440795490311257,0,4.105659,2.377233130181845,1.7284258698181831,0,0,0.0,0.0,0.0,0,0.0,34.68,0,1
21.0,-33.0,55.0,67.49074010558782,194.9664377349836,55.724234593316105,0.4440795490311257,1,4.565914,2.5767649407299054,1.9891490592701226,0,0,0.0,0.0,0.0,0,0.0,34.68,0,1
30.0,-36.0,38.0,60.332412515993425,21.739909791855762,65.86395482801106,0.4440795490311257,0,4.889293,2.7710519360925954,2.1182410639074316,0,1,2.1182410639074316,0.0,0.0,0,0.0,34.68,0,1
44.0,-37.0,38.0,68.9129886160802,-52.174756940525,75.54953625423752,0.4440795490311257,0,4.91619,2.959607501723404,1.9565824982766213,0,0,0.0,0.0,0.0,0,0.0,34.68,0,1
39.0,-36.0,38.0,65.27633568147036,32.32089736915547,80.0,0.3085048177984042,1,4.920032,3.142021277784003,1.7780107222160215,0,0,0.0,0.0,0.0,0,0.0,34.66,0,1
38.0,-35.0,36.0,62.96824596572466,7.408216648377701,76.03960396039604,0.3085048177984042,0,4.912347,3.3179565597924268,1.5943904402075986,0,0,0.0,0.0,0.0,0,0.0,34.66,0,1
40.0,-35.0,40.0,66.52067347825036,-0.00886959891068295,68.57142857142857,0.3085048177984042,0,4.90082,3.4871443310678143,1.4136756689322132,0,0,0.0,0.0,0.0,0,0.0,34.66,0,1
29.0,-31.0,36.0,55.65968020030299,1.6041720529434493,62.4390243902439,0.3085048177984042,0,4.971263,3.6493766085071435,1.3218863914928853,0,0,0.0,0.0,0.0,0,0.0,34.66,0,1
36.0,-27.0,44.0,62.93647591023825,12.9318074671946,60.0,0.4904176367304679,1,5.002867,3.8045005135168415,1.1983664864831893,0,0,0.0,0.0,0.0,0,0.0,34.66,0,1
39.0,-26.0,44.0,64.28841264178172,-40.71613469406623,64.15841584158416,0.4904176367304679,0,5.061783,3.9524134098994566,1.109369590100577,0,0,0.0,0.0,0.0,0,0.0,34.66,0,1
